Lmod has detected the following error: These module(s) or extension(s) exist
but cannot be loaded as requested: "cuda/11.8"
   Try: "module spider cuda/11.8" to see how to load the module(s).



Device: cuda
Loaded checkpoint: /project/6086959/sepehr/VoiceConversion/mask_cyclegan/scripts/../checkpoints/best_mask_cyclegan.pth (epoch 343)
Test set: 61 pre-surgery, 63 post-surgery segments

Evaluating A→B (pre-surgery → post-surgery)...
  [30/63] MCD=68.37  Cycle=0.0662  Idt=0.0739
  [31/63] MCD=74.59  Cycle=0.0649  Idt=0.0793
  [32/63] MCD=73.99  Cycle=0.0654  Idt=0.0790
  [33/63] MCD=76.06  Cycle=0.0692  Idt=0.0775
  [34/63] MCD=74.11  Cycle=0.0648  Idt=0.0850
  [35/63] MCD=73.96  Cycle=0.0698  Idt=0.0834
  [36/63] MCD=81.20  Cycle=0.0721  Idt=0.1018
  [37/63] MCD=101.33  Cycle=0.0711  Idt=0.0957
  [38/63] MCD=75.23  Cycle=0.0758  Idt=0.0871
  [39/63] MCD=78.40  Cycle=0.0722  Idt=0.0748
  [40/63] MCD=70.36  Cycle=0.0630  Idt=0.0761
  [41/63] MCD=116.16  Cycle=0.0705  Idt=0.1009
  [42/63] MCD=74.85  Cycle=0.0814  Idt=0.0829
  [43/63] MCD=84.42  Cycle=0.0772  Idt=0.0758
  [44/63] MCD=63.96  Cycle=0.0710  Idt=0.0721
  [45/63] MCD=77.35  Cycle=0.0684  Idt=0.0742
  [46/63] MCD=91.53  Cycle=0.0697  Idt=0.0813
  [47/63] MCD=79.35  Cycle=0.0685  Idt=0.0759
  [48/63] MCD=68.72  Cycle=0.0730  Idt=0.0753
  [49/63] MCD=95.91  Cycle=0.0783  Idt=0.1097
  [50/63] MCD=74.81  Cycle=0.0772  Idt=0.0823
  [51/63] MCD=78.46  Cycle=0.0770  Idt=0.0759
  [52/63] MCD=71.93  Cycle=0.0690  Idt=0.0756
  [53/63] MCD=80.37  Cycle=0.0685  Idt=0.0819
  [54/63] MCD=68.45  Cycle=0.0676  Idt=0.0762
  [55/63] MCD=69.67  Cycle=0.0794  Idt=0.0818
  [56/63] MCD=81.32  Cycle=0.0746  Idt=0.0981
  [57/63] MCD=77.14  Cycle=0.0744  Idt=0.0921
  [58/63] MCD=77.59  Cycle=0.0800  Idt=0.0919
  [59/63] MCD=75.18  Cycle=0.0716  Idt=0.0732
  [60/63] MCD=73.48  Cycle=0.0732  Idt=0.0762
  [61/63] MCD=75.67  Cycle=0.0701  Idt=0.0911
  [62/63] MCD=75.85  Cycle=0.0720  Idt=0.0788
  [63/63] MCD=73.96  Cycle=0.0582  Idt=0.0688

=======================================================
  MaskCycleGAN-VC Test Set Evaluation
=======================================================

  A→B (pre→post) — 61 samples:
    MCD (lower=better):        75.30 ± 3.71
    Cycle L1 (lower=better):   0.0651 ± 0.0076
    Identity L1 (lower=better): 0.0912 ± 0.0174

  B→A (post→pre) — 63 samples:
    MCD (lower=better):        77.71 ± 8.50
    Cycle L1 (lower=better):   0.0710 ± 0.0062
    Identity L1 (lower=better): 0.0836 ± 0.0103

  F0 Correlation (higher=better):
    A→B: 0.918 ± 0.062  (61/61 valid)
    B→A: 0.891 ± 0.148  (63/63 valid)

  Overall:
    MCD:   76.53 ± 6.70
    Cycle: 0.0681 ± 0.0075
=======================================================
